ID,simSEED,sampleSEED,rms,noiseSIGMA,bendfreq,lowalpha,highalpha,sharpness,NightsperWINDOW,NumofWINDOW,OBSperiod,WINDOWwidth,dataLOSSfrac,DRW_log_Z_mean,DRWsine_log_Z_mean,CARMA21_log_Z_mean,DRW_bf,DRWsine_bf,CARMA21sine_log_Z_mean,OBPL10_log_Z_mean,OBPLsine10_log_Z_mean,OBPL10_bf,OBPLsine10_bf
1000.0,85077.0,21789.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,258.99440329554994,254.44792426117436,262.188263081034,0.7298875400548587,0.6328493003830532,257.1069108467153,263.32714340801044,257.70719980955585,3.2090035306612026,3.45881250212822
1001.0,56812.0,96275.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,242.08526232813125,239.61138690813158,244.84865385711294,0.8790902969272257,0.59554875105627,241.21639000612464,244.0069040714897,239.8303033850808,1.2269104576419083,1.2284019690705732
1002.0,3151.0,18152.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,239.44668136446026,235.02868494793262,241.57820364608108,0.8259349946478921,0.6547387310596889,237.3256064377849,241.97637533971678,236.97513357767792,2.4687547680958337,3.2331707554018565
1003.0,66037.0,92149.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,231.49619017279903,227.95421903831758,231.4626087487051,0.837169723973328,0.7023741564206939,228.69647121018568,232.27035053118277,229.49353454981744,0.748756832052789,1.4901103405957785
1004.0,88231.0,48429.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,238.9755293770994,235.55109681923463,238.8663935149965,0.7014502941176377,0.5690376722004256,236.0975237476082,237.41534685963722,235.19888993772787,0.6215551407619097,0.8643729108090906
1005.0,65025.0,9827.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,249.9492018468334,245.63902630022773,252.13116594789287,0.6427947640972627,0.5642028158134503,247.6492586047319,253.52806670222404,248.5730581155353,2.242935347605093,2.01388414845616
1006.0,10606.0,34022.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,255.6752323136122,251.03913237570853,256.82425303191354,0.47124097442778945,0.4368254862094676,253.3355372550426,258.92497721814766,253.9230237078628,1.0086495077427693,1.6678946672169974
1007.0,32955.0,71061.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,231.9737329565498,228.12183196138724,234.66407935866803,0.849442024206567,0.6913452974238338,232.978393741639,235.94370835710157,232.55830197713004,2.4794300543973935,7.562396625523501
1008.0,86960.0,5443.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,250.55569201297703,246.35875331729983,250.29778302192722,0.5905044067928533,0.5018882116531911,247.13244436519886,251.52984867567386,248.705718864696,0.9241851092892326,5.825667097627651
1009.0,14111.0,18776.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,229.4065925849855,224.51528481445834,232.03680863192074,1.3435975107917828,1.1703103749779682,227.38162786856554,232.59743086333003,227.0971594882945,1.8287848988362903,2.2408306510132987
1010.0,4691.0,36527.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,234.21762466168724,229.96730514518833,235.88611542732806,0.9382206899454081,0.8564930115857808,233.91915931935162,241.0282708456944,237.760669403442,4.605390139693007,9.83187591200807
1011.0,75587.0,703.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,249.3797715064116,244.75023800995035,252.84091718610875,0.7388617902533353,0.6732621142082794,247.06947034947228,252.1959985651818,247.12565858168384,2.55127221705894,2.6015317654810497
1012.0,39050.0,33723.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,248.56141270498708,247.90995618793823,251.03877714431997,0.573754404221934,0.40197097192864467,249.62974180310619,251.47395462406118,249.9840905076012,0.771308286348021,0.9236375609370773
1013.0,97732.0,91435.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,252.2745332607215,247.56017505120653,252.27038821689857,0.6266326928390102,0.5422197355308289,248.11366896203057,253.28505721009307,248.38711469159503,1.124122576225147,1.9870089514355105
1014.0,22237.0,35877.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,228.49398162686515,224.0689762418649,232.40485483533288,0.8949655719477264,0.7132993432707571,226.9456733994897,232.2058454888216,226.76066274296124,2.45541087547289,2.310710430275721
1015.0,30321.0,52576.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,227.64086327409825,223.03972746908755,229.1607795250468,0.7281096871667089,0.6369233430801529,225.38976920012604,229.2674849158426,225.08082768232362,1.8865324156340537,3.072073466413788
1016.0,49220.0,36685.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,248.3374156878324,243.85125365255706,250.65157265434038,0.6351570897781355,0.5767280534620869,246.46517553875313,252.13812336883493,247.36812009170117,1.4640887470559103,1.7194977277354042
1017.0,87544.0,1612.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,236.65830509101372,232.78264785791308,236.66463911455574,0.8967471595055461,0.7503607106964946,233.0277082135555,238.82598309030226,234.7655843451753,1.3781420582045694,1.8334434761804104
1018.0,41448.0,73626.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,255.63129261825063,250.75837650200071,257.32845591645645,0.4781879019032008,0.45598859279655235,254.56947448611115,259.56518721859464,256.06705388216625,1.1545805547266008,2.3299221243106762
1019.0,12605.0,62112.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,227.0705337286851,222.94638197712226,229.03867157884926,1.3460623484922805,1.135112739793906,224.19993664014234,228.9479186544768,224.33553644431973,1.7072260184760166,2.696019382160266
1020.0,19943.0,42829.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,242.67483374902886,238.5730519684174,244.37836130260018,0.8651863694916319,0.6363870477539127,240.67449389416092,245.1740376146372,241.5190969576175,0.8867256157744214,1.3930368979033272
1021.0,59955.0,38265.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,257.7291530802741,253.89042784988166,258.8529638225701,0.5680184592712978,0.48491419074890096,255.715128569978,259.7401670149784,255.29574988976603,0.9157052904829425,1.0114605365532883
1022.0,47761.0,57303.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,221.2350018765067,217.20349998432837,219.53875886870725,1.419960307857227,1.1673118334560262,216.7507680155635,219.4625472304647,215.18094436156906,0.5808175512824636,0.8346566251120273
1023.0,52706.0,99754.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,231.20397585477812,226.87568921120072,232.40588835795003,0.9195031137251667,0.8361018060955716,228.515588984646,233.6759936452542,230.0435428154262,2.7904429381330402,4.358348505904243
1024.0,10244.0,82756.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,242.09940126817835,237.80613517519416,243.51127838984146,0.8031370183338725,0.653349803836444,239.70560128910688,243.29856132599437,238.64752704717625,2.105978687485704,2.321740872404304
1025.0,20810.0,46137.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,240.01874136677986,236.19216192255058,242.24728493077419,0.6952605422891844,0.5535532056949459,237.9617034974591,242.76041401904806,238.38377448448438,2.6305435812160494,2.7965577221681226
1026.0,86874.0,49278.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,251.6672003542134,247.45216755746512,252.7327683698987,0.6957743806579636,0.5511072865080501,248.73331040898458,256.61492299353694,252.40391583783423,2.0245346227240324,4.099464769647329
1027.0,93597.0,56742.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,232.17668579151166,227.4687079581277,234.22585798575886,0.6268260309005634,0.5794186772006876,231.97121061383473,233.7316599035746,230.03041892375873,2.453247318687129,5.773747087062165
1028.0,10656.0,69863.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1029.0,49504.0,74601.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,219.40214747881205,215.04093996960907,220.23372736859565,0.9880806254331198,0.8181134317524534,216.81042437394615,221.4840743221403,216.80087042052403,1.8687861857208428,2.989971946131085
1030.0,97629.0,55151.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,243.29454162436986,238.70136615411894,247.55811486124762,0.7693692906079348,0.7059277037694179,242.63335459516117,250.45025373251465,245.14161049842434,7.081034124006562,8.239756635947641
1031.0,88018.0,13539.0,0.15,0.015,0.0027397260273972,-1.0,-2.0,10.0,20,8,6,60,0.2,245.82399261618266,241.72596116510073,246.21270096579826,0.6859276838756836,0.5888274501273824,242.59450791349502,247.7932217443004,244.11988269538858,2.4954782687682466,4.434024762247492
