ID,simSEED,sampleSEED,rms,noiseSIGMA,bendfreq,lowalpha,highalpha,sharpness,NightsperWINDOW,NumofWINDOW,dataLOSSfrac,OBSperiod,WINDOWwidth
1000.0,17116.0,98941.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,0.75,7
1001.0,27309.0,59699.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,0.75,14
1002.0,26240.0,62372.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.0,7
1003.0,44044.0,45699.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.0,14
1004.0,37433.0,18831.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.0,21
1005.0,65188.0,58647.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.25,7
1006.0,84659.0,90088.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.25,14
1007.0,62671.0,16660.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.25,21
1008.0,48320.0,49363.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.25,28
1009.0,29313.0,98201.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.5,7
1010.0,60202.0,91817.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.5,14
1011.0,1317.0,80968.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.5,21
1012.0,5054.0,40786.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.5,28
1013.0,24440.0,2615.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.5,35
1014.0,84860.0,24705.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.75,7
1015.0,33460.0,1159.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.75,14
1016.0,99133.0,45403.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.75,21
1017.0,77281.0,4430.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.75,28
1018.0,10434.0,53961.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.75,35
1019.0,82873.0,35944.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,1.75,42
1020.0,89560.0,15019.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.0,7
1021.0,81058.0,10502.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.0,14
1022.0,91324.0,69625.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.0,21
1023.0,121.0,6730.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.0,28
1024.0,87886.0,89615.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.0,35
1025.0,91946.0,13729.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.0,42
1026.0,96233.0,45879.0,0.15,0.015,0.0027397260273972603,-1.0,-2.5,10.0,20,8,0.2,2.0,49
