ID,simSEED,sampleSEED,rms,noiseSIGMA,bendfreq,lowalpha,highalpha,sharpness,period,A1,NightsperWINDOW,OBSperiod,WINDOWwidth,dataLOSSfrac,NumofWINDOW
1000,2335.0,96.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1001,9033.0,35155.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1002,63457.0,85517.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1003,67802.0,42744.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1004,24583.0,94350.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1005,85589.0,50150.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1006,15879.0,23373.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1007,14975.0,55486.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1008,85012.0,68141.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1009,3093.0,35612.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1010,86800.0,33430.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1011,29889.0,9134.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1012,46526.0,97312.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1013,50684.0,40681.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1014,66561.0,42707.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1015,31439.0,7695.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1016,52514.0,14452.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1017,62088.0,19612.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1018,85235.0,61547.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1019,34689.0,36498.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1020,57546.0,78512.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1021,59048.0,26042.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1022,17174.0,81363.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1023,91663.0,2929.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1024,74683.0,48594.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1025,69179.0,84952.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1026,96362.0,66768.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1027,45895.0,81430.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1028,84616.0,60645.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1029,52041.0,45596.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1030,74429.0,76875.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1031,15612.0,50949.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1032,18358.0,13464.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1033,55841.0,90245.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1034,5375.0,81304.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
